latitude,longitude,class
17.31842538,-88.56661019,pine_oak
16.71523962,-92.44657994,pine_oak
16.68986389,-92.60203889,pine_oak
14.26612072,-88.89244634,pine_oak
16.68321412,-92.60444855,pine_oak
16.68538834,-92.59724405,pine_oak
16.68857853,-92.60135408,pine_oak
16.732821,-92.604449,pine_oak
16.97534967,-89.67830926,pine_oak
16.68994667,-92.60065667,pine_oak
16.689515,-92.60014833,pine_oak
16.690815,-92.60172333,pine_oak
17.77142222,-88.54547222,pine_oak
14.349875,-89.19236667,pine_oak
16.68274191,-92.5993187,pine_oak
16.98767833,-92.23686167,pine_oak
17.76932167,-88.54515,pine_oak
14.27153789,-88.94708268,pine_oak
14.505829,-90.381849,pine_oak
15.37345046,-90.25158001,pine_oak
14.29880497,-88.200665,pine_oak
16.63895278,-92.34467778,pine_oak
17.25638333,-92.11495,pine_oak
16.2168941,-92.1175628,pine_oak
16.2265674,-92.1056015,pine_oak
16.16509008,-92.16242296,pine_oak
16.6936737,-92.60002546,pine_oak
16.69796384,-92.60712124,pine_oak
16.69912621,-92.60841988,pine_oak
16.13986667,-92.10957222,pine_oak
17.35984167,-88.54450333,pine_oak
14.74454506,-89.8336188,pine_oak
16.690007,-92.60249797,pine_oak
16.724333,-92.58485797,pine_oak
16.723603,-92.585339,pine_oak
16.72252397,-92.58591497,pine_oak
16.72657494,-92.60285292,pine_oak
15.1051336,-92.03795986,pine_oak
15.32352222,-92.30819722,pine_oak
15.32338611,-92.30814444,pine_oak
15.39490882,-92.31661508,pine_oak
15.80369577,-92.48823057,pine_oak
15.80706997,-92.565441,pine_oak
15.33550278,-92.26959722,pine_oak
15.39485661,-92.24981846,pine_oak
16.72751797,-92.60616797,pine_oak
14.62511156,-90.61555825,pine_oak
14.6237899,-90.61543521,pine_oak
16.17587197,-92.219823,pine_oak
16.03071644,-92.31597789,pine_oak
15.77722997,-92.54138397,pine_oak
17.05036418,-88.92291063,pine_oak
15.78671389,-92.60630833,pine_oak
15.95666557,-92.53150459,pine_oak
15.99852739,-92.46159457,pine_oak
15.825571,-92.549271,pine_oak
15.82566926,-92.55004823,pine_oak
16.54966694,-92.52440408,pine_oak
15.83954145,-92.5800054,pine_oak
16.65851944,-92.52368889,pine_oak
15.78678597,-92.606335,pine_oak
16.45628758,-92.38765456,pine_oak
15.81631697,-92.60562797,pine_oak
16.6949881,-92.40410545,pine_oak
16.78507196,-92.4803231,pine_oak
17.35111896,-88.55136894,pine_oak
15.19790244,-92.4751651,pine_oak
15.19769765,-92.47532161,pine_oak
15.22656766,-92.46835988,pine_oak
16.62083997,-92.56499326,pine_oak
16.6203208,-92.56525819,pine_oak
16.73058667,-92.60265333,pine_oak
16.68329167,-92.60150333,pine_oak
14.69961876,-90.90557411,pine_oak
14.69986458,-90.90104084,pine_oak
14.6534501,-91.01411741,pine_oak
14.91061961,-90.94558865,pine_oak
14.83376758,-90.94016019,pine_oak
16.8309749,-89.81647557,pine_oak
15.22542,-90.28266167,pine_oak
16.68331875,-92.59330194,pine_oak
16.61335,-88.35543333,pine_oak
17.88072222,-91.47703056,pine_oak
16.68849,-92.60139167,pine_oak
16.68930167,-92.60169333,pine_oak
16.69323333,-92.60561,pine_oak
16.69333792,-92.60512878,pine_oak
16.691,-92.602,pine_oak
16.23833333,-92.15166667,pine_oak
14.7645441,-88.5164252,pine_oak
16.77579371,-92.50099655,pine_oak
16.68487963,-92.48508912,pine_oak
14.66385437,-90.505594,pine_oak
14.6114708,-90.563609,pine_oak
14.5660934,-90.6754449,pine_oak
14.5672658,-90.6753409,pine_oak
14.44084533,-91.1199066,pine_oak
14.59710739,-89.98317544,pine_oak
16.48758116,-92.55812601,pine_oak
16.48642906,-92.5594303,pine_oak
16.72234167,-92.59549667,pine_oak
16.68198655,-92.60041176,pine_oak
16.73017167,-92.60516333,pine_oak
16.68305779,-92.60203552,pine_oak
16.7308,-92.603805,pine_oak
16.68173409,-92.60027313,pine_oak
16.73317599,-92.60431029,pine_oak
16.73330539,-92.60183662,pine_oak
16.68130493,-92.59958649,pine_oak
16.73437881,-92.60295105,pine_oak
16.73348618,-92.60420227,pine_oak
16.73204994,-92.60353088,pine_oak
16.73322833,-92.600205,pine_oak
16.682949,-92.60452897,pine_oak
16.73305833,-92.60871167,pine_oak
16.70544807,-92.614613,pine_oak
16.70552239,-92.61465216,pine_oak
17.5319096,-91.99204203,pine_oak
